랭킹,카페,메뉴,메뉴가격,전화번호,카페주소,홈페이지,링크
22,Dawali Mediterranean Kitchen,Shawarma,$6,No Contact,Multiple locations,dawalikitchen.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Dawali-Mediterranean-Kitchen-Shawarma/
23,Big Jones,Toasted Pimiento Cheese,$8,773-275-5725,5347 N. Clark St.,bigjoneschicago.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Big-Jones-Toasted-Pimiento-Cheese/
24,La Pane,Vegetarian Panino,$5.99,773-539-5321,2954 W. Irving Park Rd.,lapanechicago.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-La-Pane-Vegetarian-Panino/
25,Pastoral,Cali Chèvre,$7.52,No Contact,Multiple locations,pastoralartisan.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Pastoral-Cali-Chevre/
26,Max’s Deli,Pastrami,$11.95,847-831-0600,191 Skokie Valley Rd.,maxs-deli.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Maxs-Deli-Pastrami/
27,Lucky’s Sandwich Co.,The Fredo,$7.50,No Contact,Multiple locations,luckysandwich.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Luckys-Sandwich-Co-The-Fredo/
28,City Provisions,Smoked Ham,$12.95,773-293-2489,1818 W. Wilson Ave.,cityprovisions.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-City-Provisions-Smoked-Ham/
29,Papa’s Cache Sabroso,Jibarito,$7,773-862-8313,2517 W. Division St.,papascachesabroso.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Papas-Cache-Sabroso-Jibarito/
30,Bavette’s Bar & Boeuf,Shaved Prime Rib,$21,312-624-8154,218 W. Kinzie St.,No Homepage,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Bavettes-Bar-and-Boeuf-Shaved-Prime-Rib/
31,Hannah’s Bretzel,Serrano Ham and Manchego Cheese,$9.79,No Contact,Multiple locations,hannahsbretzel.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Hannahs-Bretzel-Serrano-Ham-and-Manchego-Cheese/
32,La Fournette,Tuna Salad,$9.75,312-624-9430,1547 N. Wells St.,lafournette.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-La-Fournette-Tuna-Salad/
33,Paramount Room,Paramount Reuben,$13,312-829-6300,415 N. Milwaukee Ave.,paramountroom.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Paramount-Room-Paramount-Reuben/
34,Melt Sandwich Shoppe,The Istanbul,$7.95,773-681-9914,1840 N. Damen Ave.,meltsandwichshoppechicago.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Melt-Sandwich-Shoppe-The-Istanbul/
35,Floriole Cafe & Bakery,B.A.D.,$9,773-883-1313,1220 W. Webster Ave.,floriole.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Floriole-Cafe-and-Bakery-BAD/
36,First Slice Pie Café,Duck Confit and Mozzarella,$9,773-275-4297,5357 N. Ashland Ave.,No Homepage,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-First-Slice-Pie-Cafe-Duck-Confit-and-Mozzarella/
37,Troquet,Croque Monsieur,$8,773-334-5664,1834 W. Montrose Ave.,troquetchicago.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Troquet-Croque-Monsieur/
38,Grahamwich,Green Garbanzo,$8,312-265-0434,615 N. State St.,grahamwich.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Grahamwich-Green-Garbanzo/
39,Saigon Sisters,The Hen House,$7,No Contact,Multiple locations,saigonsisters.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Saigon-Sisters-The-Hen-House/
40,Rosalia’s Deli,Tuscan Chicken,$6,630-516-3354,241 N. York Rd.,rosaliasdeli.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Rosalias-Deli-Tuscan-Chicken/
41,Z&H MarketCafe,The Marty,$7.25,773-538-7372,1323 E. 57th St.,zhmarketcafe.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Z-and-H-MarketCafe-The-Marty/
42,Market House on the Square,Whitefish,$11,847-234-8800,655 Forest Ave.,themarkethouse.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Market-House-on-the-Square-Whitefish/
43,Elaine’s Coffee Call,"Oat Bread, Pecan Butter, and Fruit Jam",$6,312-254-4665,Hotel Lincoln,No Homepage,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Elaines-Coffee-Call-Oat-Bread-Pecan-Butter-and-Fruit-Jam/
44,Marion Street Cheese Market,Cauliflower Melt,$9,708-725-7200,100 S. Marion St.,marionstreetcheesemarket.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Marion-Street-Cheese-Market-Cauliflower-Melt/
45,Cafecito,Cubana,$5.49,312-922-2233,26 E. Congress Pkwy.,cafecitochicago.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Cafecito-Cubano/
46,Chickpea,Kufta,$8,773-384-9930,2018 W. Chicago Ave.,chickpeaonthego.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Chickpea-Kufta/
47,The Goddess and Grocer,Debbie’s Egg Salad,$6.50,312-896-2600,25 E. Delaware Pl.,goddessandgrocer.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-The-Goddess-and-Grocer-Debbies-Egg-Salad/
48,Zenwich,Beef Curry,$7.50,630-359-5234,416 N. York St.,eatmyzenwich.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Zenwich-Beef-Curry/
49,Toni Patisserie,Le Végétarien,$8.75,312-726-2020,65 E. Washington St.,tonipatisserie.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Toni-Patisserie-Le-Vegetarien/
50,Phoebe’s Bakery,The Gatsby,$6.85,773-868-4000,3351 N. Broadway,phoebesbakery.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Phoebes-Bakery-The-Gatsby/
